Estación;cp;Año;Mes;Dia;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Rozas de Puerto Real;28017-28007;2017;7;4;Madrid;33.4 (17:30);18.8 (07:10);26.1;34 (13:10);17 (10:00);0;0;0;0;0
Robledo de Chavela;28016-28006;2017;7;4;Madrid;33.9 (18:00);18.0 (06:40);26;35 (13:40);16 (19:00);0;0;0;0;0
Valdemorillo;28015;2017;7;4;Madrid;26.8 (17:20);14.2 (06:30);20.5;42 (10:10);24 (08:50);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;7;5;Madrid;22.8 (14:50);13.1 (07:00);17.9;60 (16:10);33 (16:00);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;7;5;Madrid;36.7 (18:40);19.7 (07:10);28.2;47 (01:10);27 (01:10);0;0;0;0;0
Rascafría;28034-28035-28040;2017;7;5;Madrid;30.4 (19:00);9.9 (05:30);20.1;32 (14:30);13 (14:30);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;7;5;Madrid;30.8 (17:20);11.5 (06:20);21.1;32 (13:40);17 (17:10);0;0;0;0;0
Somosierra;28020-28021-28024;2017;7;5;Madrid;26.8 (17:40);14.2 (06:40);20.5;44 (18:10);19 (13:40);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;7;5;Madrid;32.8 (18:10);18.8 (07:40);25.8;32 (23:59);17 (23:59);0;0;0;0;0
Madrid Aeropuerto;28055-28050-28033;2017;7;5;Madrid;35.7 (17:50);20.7 (07:10);28.2;50 (15:50);36 (22:50);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;7;5;Madrid;36.4 (19:00);20.0 (07:20);28.2;59 (23:59);38 (23:59);0;0;0;0;0
Arganda del Rey;28051-28031-28052;2017;7;5;Madrid;31.1 (18:20);17.3 (07:10);24.2;39 (23:59);23 (23:59);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;7;5;Madrid;35.3 (17:30);21.0 (07:40);28.1;39 (17:50);13 (04:20);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;7;5;Madrid;34.7 (18:10);20.8 (07:00);27.8;0;0;0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;7;5;Madrid;35.8 (17:10);21.3 (07:50);28.5;33 (23:50);19 (23:50);0;0;0;0;0
Madrid. Retiro;28001-28004-28009;2017;7;5;Madrid;35.2 (17:40);20.1 (07:10);27.7;0;0;0;0;0;0;0
Tielmes;28002-28003-28043;2017;7;5;Madrid;26.6 (18:00);14.2 (07:20);20.4;48 (15:30);22 (12:40);0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;7;5;Madrid;33.0 (19:50);17.5 (07:10);25.3;32 (15:40);15 (17:20);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;7;5;Madrid;34.8 (18:40);19.6 (07:00);27.2;36 (16:30);15 (16:10);0;0;0;0;0
Torrelodones;28018-28010-28008;2017;7;5;Madrid;31.5 (19:20);16.3 (06:50);23.9;0;0;0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;7;5;Madrid;32.6 (17:30);19.1 (07:10);25.8;35 (15:50);16 (16:00);0;0;0;0;0
Robledo de Chavela;28016-28006;2017;7;5;Madrid;33.6 (19:00);18.4 (07:30);26;35 (14:20);18 (14:40);0;0;0;0;0
Valdemorillo;28015;2017;7;5;Madrid;34.8 (18:40);19.6 (07:00);27.2;36 (16:30);15 (16:10);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;7;6;Madrid;18.4 (00:00);9.9 (16:10);14.1;90 (14:30);54 (14:30);6.2;0;0.2;5;1
Aranjuez;28025-28041-28054;2017;7;6;Madrid;27.1 (00:00);17.3 (18:50);22.2;55 (18:30);28 (18:30);30.5;0;4.9;2.2;23.4
Rascafría;28034-28035-28040;2017;7;6;Madrid;21.0 (02:00);13.2 (23:59);17.1;27 (01:40);12 (04:10);11.6;0;0.4;3.6;7.6
Buitrago del Lozoya;28003-28045-28044;2017;7;6;Madrid;23.1 (00:10);13.7 (20:20);18.4;37 (20:20);18 (20:20);11.4;0;0;4.8;6.6
Somosierra;28020-28021-28024;2017;7;6;Madrid;21.1 (00:00);11.7 (19:50);16.4;60 (11:50);30 (11:50);22.4;0;1.4;5.2;15.8
Madrid. El Goloso;28029-28036-28046;2017;7;6;Madrid;27.7 (00:00);15.7 (19:50);21.7;36 (01:30);15 (01:20);32.4;0.8;3.4;5.6;22.6
Madrid Aeropuerto;28055-28050-28033;2017;7;6;Madrid;27.6 (00:00);15.3 (19:40);21.5;48 (18:40);32 (01:50);26.2;2.8;7.8;4.4;11.2
Alcala de Henares;28022-28027-28037;2017;7;6;Madrid;27.9 (00:00);17.3 (20:10);22.6;63 (00:10);42 (00:10);21.4;3.2;2.4;4.2;11.6
Arganda del Rey;28051-28031-28052;2017;7;6;Madrid;24.4 (00:00);14.4 (18:40);19.4;77 (09:50);30 (23:10);18.3;0;2.8;3.7;11.8
Colmenar Viejo;28039-28038-28032;2017;7;6;Madrid;28.3 (00:00);15.8 (19:20);22;52 (18:20);26 (18:20);38.9;2.6;3.2;6.2;26.9
Madrid. Ciudad Universitaria;28011-28013-28005;2017;7;6;Madrid;28.8 (00:00);16.8 (19:00);22.8;0;0;18.8;1.2;1.2;6.4;10
Pozuelo de Alarcón;28030-28028-28026;2017;7;6;Madrid;28.7 (00:00);16.6 (20:00);22.7;42 (11:20);18 (11:30);0;0;0;0;
Madrid. Retiro;28001-28004-28009;2017;7;6;Madrid;26.9 (00:00);18.0 (19:20);22.4;0;0;20;0.2;0.2;2;17.6
Tielmes;28002-28003-28043;2017;7;6;Madrid;21.0 (00:30);11.1 (16:10);16.1;67 (16:50);33 (12:10);22.4;0;3;14.2;5.2
Puerto Alto del León;28049-28054-28053;2017;7;6;Madrid;26.3 (00:00);15.0 (18:30);20.6;51 (18:20);24 (02:00);12.8;0;0.2;3.8;8.8
Alpedrete;28019-28014-28012;2017;7;6;Madrid;27.2 (00:20);15.3 (18:40);21.3;67 (18:10);25 (01:20);14.7;0.8;0.5;6.9;6.5
Torrelodones;28018-28010-28008;2017;7;6;Madrid;26.0 (01:00);12.8 (20:50);19.4;0;0;28.8;0;0;16;12.8
Rozas de Puerto Real;28017-28007;2017;7;6;Madrid;27.1 (01:10);15.7 (16:40);21.4;45 (17:30);23 (01:20);30.7;0;2.1;27.2;1.4
Robledo de Chavela;28016-28006;2017;7;6;Madrid;26.9 (00:40);15.9 (18:30);21.4;45 (01:10);27 (01:30);12.4;0;0.8;8.8;2.8
Valdemorillo;28015;2017;7;6;Madrid;26.0 (01:00);12.8 (20:50);19.4;0;0;0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;7;7;Madrid;17.6 (12:30);6.8 (15:40);12.2;72 (02:10);32 (00:30);42;1.8;0;39;1.2
Aranjuez;28025-28041-28054;2017;7;7;Madrid;25.5 (12:50);15.8 (07:10);20.7;37 (15:20);19 (14:40);19.5;0.1;0.1;19.1;0.2
Rascafría;28034-28035-28040;2017;7;7;Madrid;21.5 (12:20);10.7 (23:30);16.1;28 (16:00);9 (17:10);28.4;0.4;0.2;22;5.8
Buitrago del Lozoya;28003-28045-28044;2017;7;7;Madrid;23.1 (12:50);10.5 (19:20);16.8;46 (16:30);24 (16:30);18.6;0;0;5.7;12.9
Somosierra;28020-28021-28024;2017;7;7;Madrid;19.8 (10:00);9.2 (19:20);14.5;47 (06:10);22 (06:10);49.3;0;0;11.8;37.5
Madrid. El Goloso;28029-28036-28046;2017;7;7;Madrid;24.6 (13:10);13.9 (23:00);19.3;36 (15:00);17 (17:00);39.6;0;0;36.4;3.2
Madrid Aeropuerto;28055-28050-28033;2017;7;7;Madrid;25.9 (14:10);14.3 (23:20);20.1;147 (16:00);47 (16:00);44.7;0;0;39.3;5.4
Alcala de Henares;28022-28027-28037;2017;7;7;Madrid;25.8 (14:00);16.0 (07:30);20.9;53 (15:40);28 (15:40);36;0.2;0.2;30.8;4.8
Arganda del Rey;28051-28031-28052;2017;7;7;Madrid;22.5 (12:30);12.7 (16:40);17.6;71 (15:20);27 (02:40);0;2.8;0.1;0;4.8
Colmenar Viejo;28039-28038-28032;2017;7;7;Madrid;25.1 (13:00);14.6 (23:50);19.9;54 (14:50);19 (14:50);0;0;0;0;
Madrid. Ciudad Universitaria;28011-28013-28005;2017;7;7;Madrid;24.8 (13:00);14.2 (23:50);19.5;0;0;21.8;5.8;0.2;15.4;0.4
Pozuelo de Alarcón;28030-28028-28026;2017;7;7;Madrid;25.3 (13:00);15.9 (22:30);20.6;43 (15:30);17 (15:30);0;0;0;0;
Madrid. Retiro;28001-28004-28009;2017;7;7;Madrid;26.0 (14:00);15.9 (07:10);20.9;0;0;6;0;0;1.2;4.8
Tielmes;28002-28003-28043;2017;7;7;Madrid;17.9 (10:10);7.8 (15:30);12.8;52 (14:50);34 (14:50);38.7;0.5;0;38.2;0
Puerto Alto del León;28049-28054-28053;2017;7;7;Madrid;24.8 (10:50);12.9 (15:30);18.8;40 (15:00);22 (15:00);39.6;0.4;0;39.2;0
Alpedrete;28019-28014-28012;2017;7;7;Madrid;25.1 (12:20);13.1 (16:00);19.1;40 (00:20);22 (15:20);20.7;0.5;0;20.1;0.1
Torrelodones;28018-28010-28008;2017;7;7;Madrid;20.0 (19:00);10.4 (12:10);15.2;0;0;78.2;9.4;61;7.8;0
Rozas de Puerto Real;28017-28007;2017;7;7;Madrid;20.5 (18:00);11.4 (10:40);15.9;50 (10:40);21 (10:30);63.6;7.6;26.9;29.1;0
Robledo de Chavela;28016-28006;2017;7;7;Madrid;23.3 (12:30);14.0 (16:00);18.6;53 (11:00);22 (16:00);25.2;3.4;0;21.6;0.2
Valdemorillo;28015;2017;7;7;Madrid;20.5 (18:00);11.4 (10:40);15.9;50 (10:40);21 (10:30);63.6;7.6;26.9;29.1;0
Puerto de Navacerrada;28048-28047-28023;2017;7;8;Madrid;16.0 (18:40);7.8 (06:00);11.9;51 (02:00);30 (02:00);1;0.4;0.2;0.2;0.2
Aranjuez;28025-28041-28054;2017;7;8;Madrid;26.9 (15:30);15.1 (07:00);21;26 (16:00);14 (16:00);0.1;0;0.1;0;0
Rascafría;28034-28035-28040;2017;7;8;Madrid;20.1 (18:20);10.5 (07:00);15.3;17 (14:40);8 (14:50);2.8;0;0;2.6;0.2
Buitrago del Lozoya;28003-28045-28044;2017;7;8;Madrid;21.8 (20:20);11.9 (00:00);16.8;32 (11:50);13 (11:50);5.2;0.1;0.2;3.7;1.2
Somosierra;28020-28021-28024;2017;7;8;Madrid;19.0 (18:50);11.0 (00:10);15;37 (01:00);13 (03:50);7;0;0;7;0
Madrid. El Goloso;28029-28036-28046;2017;7;8;Madrid;23.0 (19:10);14.1 (00:10);18.6;33 (13:40);14 (13:50);0.4;0.2;0.2;0;0
Madrid Aeropuerto;28055-28050-28033;2017;7;8;Madrid;24.5 (19:40);14.6 (00:00);19.6;52 (14:10);37 (14:00);0.8;0;0;0.8;0
Alcala de Henares;28022-28027-28037;2017;7;8;Madrid;25.2 (20:00);15.7 (01:00);20.5;35 (14:50);22 (14:50);0.4;0;0.2;0.2;0
Arganda del Rey;28051-28031-28052;2017;7;8;Madrid;21.2 (19:00);13.5 (08:10);17.4;33 (13:10);14 (17:40);10.2;0;0;10.2;0
Colmenar Viejo;28039-28038-28032;2017;7;8;Madrid;25.1 (13:40);14.6 (00:10);19.9;35 (14:10);18 (14:10);0;0;0;0;
Madrid. Ciudad Universitaria;28011-28013-28005;2017;7;8;Madrid;25.2 (17:40);13.7 (06:50);19.5;0;0;0.4;0.2;0;0.2;0
Pozuelo de Alarcón;28030-28028-28026;2017;7;8;Madrid;25.4 (14:10);16.4 (00:20);20.9;24 (14:30);10 (14:40);0;0;0;0;
Madrid. Retiro;28001-28004-28009;2017;7;8;Madrid;24.7 (14:20);16.0 (07:30);20.4;0;0;0.6;0;0;0.6;0
Tielmes;28002-28003-28043;2017;7;8;Madrid;19.9 (18:10);9.5 (08:10);14.7;44 (20:00);29 (13:00);0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;7;8;Madrid;25.8 (18:50);13.9 (05:30);19.8;32 (13:10);17 (13:00);0;0;0;0;0
Alpedrete;28019-28014-28012;2017;7;8;Madrid;25.5 (16:30);13.7 (06:40);19.6;30 (01:10);13 (01:20);0.6;0;0;0.6;0
Torrelodones;28018-28010-28008;2017;7;8;Madrid;24.8 (19:20);12.2 (01:30);18.5;0;0;0;0;0;0;0
Rozas de Puerto Real;28017-28007;2017;7;8;Madrid;26.0 (19:30);12.9 (07:30);19.4;7 (17:30);2 (16:40);0;0;0;0;0
Robledo de Chavela;28016-28006;2017;7;8;Madrid;25.2 (19:00);14.4 (06:30);19.8;27 (13:00);15 (13:10);0.2;0;0.2;0;0
Valdemorillo;28015;2017;7;8;Madrid;26.0 (19:30);12.9 (07:30);19.4;7 (17:30);2 (16:40);0;0;0;0;0
Puerto de Navacerrada;28048-28047-28023;2017;7;9;Madrid;21.6 (16:20);9.9 (02:20);15.8;37 (20:40);24 (20:40);0;0;0;0;0
Aranjuez;28025-28041-28054;2017;7;9;Madrid;32.6 (20:10);15.4 (07:00);24;17 (18:20);9 (08:10);0;0;0;0;0
Rascafría;28034-28035-28040;2017;7;9;Madrid;27.5 (16:40);10.6 (04:30);19.1;17 (17:40);9 (17:40);0;0;0;0;0
Buitrago del Lozoya;28003-28045-28044;2017;7;9;Madrid;27.9 (16:10);12.2 (06:10);20;22 (16:20);10 (16:20);0.9;0.4;0.2;0.2;0.1
Somosierra;28020-28021-28024;2017;7;9;Madrid;24.4 (17:30);11.2 (06:20);17.8;27 (23:00);11 (17:40);0;0;0;0;0
Madrid. El Goloso;28029-28036-28046;2017;7;9;Madrid;29.4 (18:40);14.3 (05:30);21.8;28 (17:20);12 (17:20);0.2;0;0.2;0;0
Madrid Aeropuerto;28055-28050-28033;2017;7;9;Madrid;31.8 (17:30);15.2 (06:50);23.5;41 (14:30);20 (20:10);0;0;0;0;0
Alcala de Henares;28022-28027-28037;2017;7;9;Madrid;32.4 (19:00);15.4 (07:30);23.9;24 (17:20);14 (19:10);0.2;0.2;0;0;0
Arganda del Rey;28051-28031-28052;2017;7;9;Madrid;27.8 (16:50);14.8 (03:00);21.3;29 (16:00);14 (17:50);0;0;0;0;0
Colmenar Viejo;28039-28038-28032;2017;7;9;Madrid;32.1 (18:10);14.6 (07:00);23.3;29 (18:50);14 (19:10);0;0;0;0;0
Madrid. Ciudad Universitaria;28011-28013-28005;2017;7;9;Madrid;31.7 (17:40);13.4 (07:00);22.6;0;0;0;0;0;0;0
Pozuelo de Alarcón;28030-28028-28026;2017;7;9;Madrid;31.5 (16:40);17.0 (07:10);24.3;24 (21:00);11 (20:50);0;0;0;0;
Madrid. Retiro;28001-28004-28009;2017;7;9;Madrid;31.3 (17:10);14.6 (07:00);22.9;0;0;0;0;0;0;0
Tielmes;28002-28003-28043;2017;7;9;Madrid;24.6 (19:10);10.5 (05:50);17.6;36 (02:50);24 (03:30);0;0;0;0;0
Puerto Alto del León;28049-28054-28053;2017;7;9;Madrid;30.6 (17:30);16.4 (06:40);23.5;25 (14:00);11 (19:10);0;0;0;0;0
